user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR,LastClickToEnd
2015012867,7,2,1,5,0.2,0.022222222222222223,0.0768034188034188,1.0,0.125,0.37166666666666665,0.002983211677961106,1500.0,64093,37244,7448.8,2979,53731,5,1.0,10362
2015012867,7,3,1,3,0.09090909090909091,0.02127659574468085,0.04665448814384984,0.5,0.14285714285714285,0.2809523809523809,0.0020174848688634837,1100.0,28999,10477,3492.3333333333335,2671,22119,3,1.0,6880
2015012867,7,4,0,0,0,0,0,0,0,0,0,0.0,23706,0,0,2000000,2000000,0,0,2000000
2015012867,8,0,1,2,0.125,0.017857142857142856,0.07142857142857142,0.5,0.1,0.3,0.000967062340223169,3100.0,38309,4735,2367.5,4359,15783,2,1.0,22526
2015012867,8,1,1,3,0.07142857142857142,0.017857142857142856,0.0367063492063492,0.5,0.125,0.25595238095238093,0.0017889087656529517,1400.0,26115,11955,3985.0,3051,18035,3,1.0,8080
2015012867,9,0,0,0,0,0,0,0,0,0,0,4300.0,24728,0,0,2000000,2000000,0,0,2000000
2015012867,9,1,0,0,0,0,0,0,0,0,0,0.0,2892,0,0,2000000,2000000,0,0,2000000
2015012867,9,2,1,1,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.00039308176100628933,3800.0,33855,3329,3329.0,8411,8411,1,1.0,25444
2015012867,9,3,0,0,0,0,0,0,0,0,0,8548.0,49927,0,0,2000000,2000000,0,0,2000000
2015012867,9,4,0,0,0,0,0,0,0,0,0,6000.0,42930,0,0,2000000,2000000,0,0,2000000
2015012867,9,5,1,2,0.00546448087431694,0.004878048780487805,0.005171264827402372,0.043478260869565216,0.038461538461538464,0.04096989966555184,0.00036003600360036,5457.0,101507,14763,7381.5,65143,85303,2,1.0,16204
2015012867,9,6,0,0,0,0,0,0,0,0,0,1600.0,68286,0,0,2000000,2000000,0,0,2000000
2015012867,10,0,0,0,0,0,0,0,0,0,0,0.0,14864,0,0,2000000,2000000,0,0,2000000
2015012867,10,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,0.0,67274,53386,53386.0,7633,7633,0,0.0,59641
2015012867,10,2,1,1,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016450615253010463,0.0,67511,3996,3996.0,13481,13481,1,1.0,54030
2015012867,11,0,1,1,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0006958588742534303,2300.0,65517,4040,4040.0,40633,40633,1,1.0,24884
2015012867,11,1,1,1,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.2,0.2,0.2,0.00097695843530337,400.0,102569,3791,3791.0,23438,23438,1,1.0,79131
2015012867,11,2,0,0,0,0,0,0,0,0,0,1600.0,22913,0,0,2000000,2000000,0,0,2000000
2015012867,11,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,0.0,33238,3013,3013.0,1916,1916,1,1.0,31322
