user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR,LastClickToEnd,LastHoverToEnd
20160113535,2,2,0,0,0,0,0,0,0,0,0,500.0,14853,0,0,2000000,2000000,0,0,2000000,8956
20160113535,2,9,0,0,0,0,0,0,0,0,0,0.0,4706,0,0,2000000,2000000,0,0,2000000,2000000
20160113535,3,0,0,0,0,0,0,0,0,0,0,400.0,12934,0,0,2000000,2000000,0,0,2000000,4383
20160113535,4,1,0,0,0,0,0,0,0,0,0,600.0,12854,0,0,2000000,2000000,0,0,2000000,8118
20160113535,5,0,0,0,0,0,0,0,0,0,0,0.0,7653,0,0,2000000,2000000,0,0,2000000,2000000
20160113535,5,2,0,0,0,0,0,0,0,0,0,0.0,6108,0,0,2000000,2000000,0,0,2000000,2000000
20160113535,5,7,0,0,0,0,0,0,0,0,0,300.0,11941,0,0,2000000,2000000,0,0,2000000,7274
20160113535,7,1,0,0,0,0,0,0,0,0,0,0.0,11758,0,0,2000000,2000000,0,0,2000000,9339
20160113535,7,6,0,0,0,0,0,0,0,0,0,0.0,6467,0,0,2000000,2000000,0,0,2000000,2000000
20160113535,8,1,0,0,0,0,0,0,0,0,0,600.0,15572,0,0,2000000,2000000,0,0,2000000,9890
20160113535,8,3,0,0,0,0,0,0,0,0,0,2100.0,14458,0,0,2000000,2000000,0,0,2000000,5051
20160113535,9,1,0,0,0,0,0,0,0,0,0,400.0,13139,0,0,2000000,2000000,0,0,2000000,9012
20160113535,9,2,0,0,0,0,0,0,0,0,0,0.0,4018,0,0,2000000,2000000,0,0,2000000,2000000
20160113535,9,4,0,0,0,0,0,0,0,0,0,400.0,14200,0,0,2000000,2000000,0,0,2000000,8844
20160113535,9,5,0,0,0,0,0,0,0,0,0,0.0,6428,0,0,2000000,2000000,0,0,2000000,4172
20160113535,12,1,0,0,0,0,0,0,0,0,0,2400.0,95336,0,0,2000000,2000000,0,0,2000000,3512
2016011528,9,2,0,0,0,0,0,0,0,0,0,2200.0,14895,0,0,2000000,2000000,0,0,2000000,7747
2016011528,11,0,0,0,0,0,0,0,0,0,0,0.0,30124,0,0,2000000,2000000,0,0,2000000,2000000
2016011386,2,3,0,0,0,0,0,0,0,0,0,2500.0,326720,0,0,2000000,2000000,0,0,2000000,2000000
2016011386,3,0,0,0,0,0,0,0,0,0,0,0.0,11335,0,0,2000000,2000000,0,0,2000000,2000000
2016011386,9,0,0,0,0,0,0,0,0,0,0,500.0,7257,0,0,2000000,2000000,0,0,2000000,2613
2016011386,9,1,0,0,0,0,0,0,0,0,0,4000.0,33223,0,0,2000000,2000000,0,0,2000000,16396
