user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR
2016011392,9,17,0,0,0,0,0,0,0,0,0,611.0,13065,0,0,2000000,2000000,0,0
2016011392,9,18,1,1,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.25,0.25,0.25,0.0012319898484036492,3891.0,79804,1755,1755.0,-1499481904094,-1499481904094,1,1.0
2016011392,9,19,0,0,0,0,0,0,0,0,0,2215.0,16028,0,0,2000000,2000000,0,0
2016011392,9,20,0,0,0,0,0,0,0,0,0,4269.0,40797,0,0,2000000,2000000,0,0
2016011392,9,21,0,0,0,0,0,0,0,0,0,4212.0,44992,0,0,2000000,2000000,0,0
2016011392,10,1,1,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016181229773462784,184.0,19700,691,691.0,-1499485563312,-1499485563312,1,1.0
2016011392,10,2,1,3,0.07692307692307693,0.023255813953488372,0.04728185251441066,0.3333333333333333,0.14285714285714285,0.242063492063492,0.002073255010366275,1101.0,71442,1477,492.3333333333333,-1499485583211,-1499485582175,3,1.0
2016011392,11,1,1,2,0.3333333333333333,0.25,0.29166666666666663,1.0,1.0,1.0,0.010101010101010102,0.0,316341,975,487.5,-1499485825586,-1499485825597,2,1.0
2016011392,12,2,1,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.25,0.25,0.25,0.0010911336660563594,9838.0,97167,619,619.0,-1499482479796,-1499482479796,1,1.0
2016011392,12,3,0,0,0,0,0,0,0,0,0,2368.0,29420,0,0,2000000,2000000,0,0
2016011392,12,4,0,0,0,0,0,0,0,0,0,14467.0,54731,0,0,2000000,2000000,0,0
2016011392,12,5,1,1,0.1,0.1,0.1,0.5,0.5,0.5,0.0019967014492059116,3520.0,74902,1765,1765.0,-1499482662152,-1499482662152,1,1.0
2016010811,1,1,1,3,0.25,0.038461538461538464,0.11369770580296897,1.0,0.2,0.48333333333333334,0.00300304208162869,400.0,25209,2556,852.0,-1499496327570,-1499496327026,3,1.0
2016010811,1,2,1,1,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0007849293563579278,2500.0,34928,727,727.0,-1499496351979,-1499496351979,1,1.0
2016010811,1,3,1,3,0.08333333333333333,0.05263157894736842,0.06913116123642439,0.5,0.3333333333333333,0.38888888888888884,0.0048543689320388345,1600.0,37274,2612,870.6666666666666,-1499496387793,-1499496387956,3,1.0
2016010811,1,4,1,2,0.011111111111111112,0.008264462809917356,0.009687786960514234,0.07142857142857142,0.05263157894736842,0.06203007518796992,0.0004996152962219091,4500.0,64660,1530,765.0,-1499496422745,-1499496421708,2,1.0
2016010811,1,5,0,0,0,0,0,0,0,0,0,9500.0,80959,0,0,2000000,2000000,0,0
2016010811,2,1,1,5,0.3333333333333333,0.024390243902439025,0.09397798462964967,1.0,0.14285714285714285,0.3571428571428571,0.003257328990228013,1500.0,68445,3340,668.0,-1499495989119,-1499495988436,5,1.0
2016010811,2,2,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0030864197530864196,0.0,25337,829,829.0,-1499496058477,-1499496058477,1,1.0
2016010811,2,3,1,7,0.3333333333333333,0.04,0.11900793650793651,1.0,0.25,0.5000000000000001,0.007408379512232293,2100.0,76329,7644,1092.0,-1499496083996,-1499496083332,7,1.0
2016010811,3,1,0,0,0,0,0,0,0,0,0,0.0,25386,0,0,2000000,2000000,0,0
2016010811,3,2,0,0,0,0,0,0,0,0,0,1200.0,15991,0,0,2000000,2000000,0,0
2016010811,3,3,0,0,0,0,0,0,0,0,0,700.0,14569,0,0,2000000,2000000,0,0
2016010811,3,4,1,6,0.07692307692307693,0.006666666666666667,0.03204522603337441,0.5,0.07142857142857142,0.2619047619047619,0.002026276072685224,2676.0,85586,5274,879.0,-1499494641570,-1499494639053,6,1.0
2016010811,3,5,1,4,0.1,0.009523809523809525,0.0404673721340388,1.0,0.1,0.38958333333333334,0.001895110378335098,2500.0,90278,4309,1077.25,-1499494727847,-1499494725900,4,1.0
2016010811,3,6,1,2,0.04,0.011627906976744186,0.025813953488372093,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0010164610789429413,3200.0,47316,2380,1190.0,-1499494818068,-1499494816937,2,1.0
2016010811,3,7,1,6,0.03571428571428571,0.012987012987012988,0.022182548301320118,0.3333333333333333,0.14285714285714285,0.21547619047619046,0.0038461538461538464,4300.0,80480,6991,1165.1666666666667,-1499494865684,-1499494864608,6,1.0
2016010811,3,8,0,0,0,0,0,0,0,0,0,0.0,8062,0,0,2000000,2000000,0,0
2016010811,4,1,0,0,0,0,0,0,0,0,0,0.0,8587,0,0,2000000,2000000,0,0
2016010811,4,2,1,4,0.3333333333333333,0.014492753623188406,0.1256038647342995,1.0,0.09090909090909091,0.4602272727272727,0.0016992353440951572,1700.0,151178,3097,774.25,-1499494057582,-1499494055735,4,1.0
2016010811,4,3,0,0,0,0,0,0,0,0,0,1300.0,21460,0,0,2000000,2000000,0,0
2016010811,4,4,0,0,0,0,0,0,0,0,0,1400.0,36719,0,0,2000000,2000000,0,0
2016010811,4,5,0,0,0,0,0,0,0,0,0,1300.0,20523,0,0,2000000,2000000,0,0
2016010811,4,6,1,1,0.04,0.04,0.04,0.25,0.25,0.25,0.001230357344987278,600.0,36611,979,979.0,-1499494288007,-1499494288007,1,1.0
